t_s,battery_c,thermal_status,q,cpu_ms_hkaudio,cpu_ms_gl,cpu_ms_prefetch,cpu_ms_voicer,cpu_ms_main,fps,late_frames,underruns,headroom_min,majflt,brightness,movement,position_ms,plan
600,24.0,0,0,341900,73690,6660,80,24560,10.1,17,0,5098,0,-1.00,none,595168,therm30
610,24.0,0,0,342190,74340,6660,80,25010,10.0,17,0,5115,0,-1.00,none,595168,therm30
620,24.0,0,0,342190,74930,6660,80,25470,10.0,17,0,5115,0,-1.00,none,595168,therm30
630,24.0,0,0,342190,75450,6660,80,25920,10.0,18,0,5115,0,-1.00,none,595168,therm30
640,24.0,0,0,342190,75930,6660,80,26390,10.0,18,0,5115,0,-1.00,none,595168,therm30
650,24.0,0,0,342190,76420,6660,80,26850,10.0,18,0,5115,0,-1.00,none,595168,therm30
660,24.0,0,0,342200,76910,6660,80,27300,10.0,18,0,5115,0,-1.00,none,595168,therm30
670,24.0,0,0,347490,78010,6770,80,27710,30.0,18,0,5115,0,-1.00,none,9495,therm30
680,24.0,0,0,352460,79310,6880,80,28170,30.0,19,0,-1073,0,-1.00,none,19510,therm30
691,24.0,0,0,357540,80600,6990,80,28610,30.0,19,0,5109,0,-1.00,none,29526,therm30
701,24.0,0,0,362430,81930,7090,80,29050,30.0,20,0,5123,0,-1.00,none,39537,therm30
711,24.0,0,0,368250,83000,7230,80,29440,30.0,20,0,5131,0,-1.00,none,49545,therm30
721,24.0,0,0,374140,84020,7380,80,29800,30.0,20,0,5131,0,-1.00,none,59563,therm30
731,24.0,0,0,379570,85180,7500,80,30200,30.0,21,0,5124,0,-1.00,none,69574,therm30
741,24.0,0,0,385630,86190,7620,80,30560,30.0,21,0,5117,0,-1.00,none,79586,therm30
751,24.0,0,0,391430,87300,7760,80,30950,30.0,21,0,0,0,-1.00,none,89606,therm30
761,24.0,0,0,396670,88580,7880,80,31400,30.0,21,0,5112,0,-1.00,none,99619,therm30
771,24.0,0,0,401470,89920,7980,80,31840,30.0,21,0,5103,0,-1.00,none,109636,therm30
781,24.0,0,0,406490,91250,8080,80,32290,30.0,21,0,5119,0,-1.00,none,119653,therm30
791,24.0,0,0,410840,92690,8150,80,32750,30.0,21,0,5118,0,-1.00,none,129670,therm30
801,24.0,0,0,415460,94010,8240,80,33190,30.0,21,0,5122,0,-1.00,none,139687,therm30
811,24.0,0,0,415980,94550,8240,80,33640,10.0,21,0,5121,0,-1.00,none,139845,therm30
821,24.0,0,0,416010,95040,8240,80,34070,10.0,21,0,5121,0,-1.00,none,139845,therm30
831,24.0,0,0,416010,95520,8240,80,34540,10.0,21,0,5121,0,-1.00,none,139845,therm30
841,24.0,0,0,416010,96000,8240,80,34990,10.0,21,0,5121,0,-1.00,none,139845,therm30
851,24.0,0,0,421430,97080,8310,80,35410,30.0,21,0,5121,0,-1.00,none,9478,therm30
861,24.0,0,0,426750,98320,8410,80,35860,30.0,21,0,-690,0,-1.00,none,19494,therm30
871,24.0,0,0,432070,99560,8510,80,36300,30.0,21,0,5070,0,-1.00,none,29509,therm30
881,24.0,0,0,437460,100810,8620,80,36730,30.0,21,0,5124,0,-1.00,none,39526,therm30
891,24.0,0,0,442810,102040,8720,80,37190,30.0,21,0,5088,0,-1.00,none,49541,therm30
901,24.0,0,0,447930,103340,8800,80,37630,30.0,22,0,5088,0,-1.00,none,59561,therm30
911,24.0,0,0,452960,104880,8890,80,38100,30.0,22,0,5108,0,-1.00,none,69581,therm30
921,24.0,0,0,458480,106270,8980,80,38500,30.0,22,0,5121,0,-1.00,none,79596,therm30
931,24.0,0,0,464060,107620,9060,80,38900,30.0,22,0,5117,0,-1.00,none,89611,therm30
941,24.0,0,0,469510,109060,9140,80,39320,30.0,22,0,5126,0,-1.00,none,99626,therm30
951,24.0,0,0,475010,110460,9220,80,39730,30.0,22,0,5117,0,-1.00,none,109637,therm30
961,24.0,0,0,480820,111750,9320,80,40090,30.0,23,0,5128,0,-1.00,none,119654,therm30
971,24.0,0,0,486790,113010,9420,80,40470,30.0,23,0,5112,0,-1.00,none,129673,therm30
981,24.0,0,0,492630,114280,9510,80,40850,30.0,24,0,5124,0,-1.00,none,139689,therm30
991,24.0,0,0,497910,115620,9580,80,41250,30.0,24,0,5032,0,-1.00,none,149704,therm30
1001,24.0,0,0,503450,117010,9670,80,41650,30.0,25,0,5088,0,-1.00,none,159721,therm30
1011,24.0,0,0,508950,118320,9770,80,42040,30.0,25,0,5069,0,-1.00,none,169734,therm30
1021,24.0,0,0,514660,119700,9860,80,42440,30.0,25,0,5124,0,-1.00,none,179747,therm30
1031,24.0,0,0,520220,121060,9950,80,42830,30.0,25,0,5116,0,-1.00,none,189761,therm30
1041,24.0,0,0,525950,122440,10040,80,43220,30.0,25,0,5115,0,-1.00,none,199781,therm30
1051,24.0,0,0,531720,123740,10140,80,43610,30.0,25,0,5126,0,-1.00,none,209795,therm30
1061,24.0,0,0,537600,125050,10220,80,44000,30.0,26,0,5129,0,-1.00,none,219810,therm30
1071,24.0,0,0,543210,126380,10310,80,44390,30.0,26,0,5123,0,-1.00,none,229823,therm30
1081,24.0,0,0,548970,127690,10410,80,44770,30.0,27,0,5108,0,-1.00,none,239842,therm30
1091,24.0,0,0,554550,129120,10480,80,45170,30.0,27,0,5125,0,-1.00,none,249857,therm30
1101,24.0,0,0,560040,130540,10550,80,45570,30.0,27,0,5078,0,-1.00,none,259872,therm30
1111,24.0,0,0,565580,131930,10620,80,45970,30.0,28,0,5128,0,-1.00,none,269884,therm30
1121,24.0,0,0,571230,133310,10700,80,46360,30.0,28,0,5116,0,-1.00,none,279897,therm30
1131,24.0,0,0,576920,134660,10790,80,46740,30.0,28,0,5114,0,-1.00,none,289911,therm30
1141,24.0,0,0,582490,136100,10880,80,47140,30.0,29,0,5128,0,-1.00,none,299925,therm30
1151,24.0,0,0,588260,137440,10970,80,47530,30.0,29,0,5124,0,-1.00,none,309935,therm30
1161,24.0,0,0,593720,138840,11040,80,47930,30.0,29,0,5089,0,-1.00,none,319948,therm30
1171,24.0,0,0,599290,140230,11130,80,48320,30.0,30,0,5057,0,-1.00,none,329966,therm30
1181,24.0,0,0,604900,141620,11200,80,48710,30.0,30,0,5126,0,-1.00,none,339981,therm30
1191,24.0,0,0,610630,142940,11290,80,49090,30.0,30,0,5131,0,-1.00,none,349995,therm30
1201,24.0,0,0,616530,144240,11380,80,49460,30.0,31,0,5120,0,-1.00,none,360008,therm30
1211,24.0,0,0,622370,145350,11470,80,49830,30.0,31,0,5130,0,-1.00,none,370017,therm30
1221,24.0,0,0,628140,146480,11560,80,50200,30.0,31,0,5127,0,-1.00,none,380031,therm30
1231,24.0,0,0,633970,147580,11650,80,50570,30.0,32,0,5103,0,-1.00,none,390048,therm30
1241,24.0,0,0,639850,148670,11740,80,50940,30.0,32,0,5081,0,-1.00,none,400057,therm30
1251,24.0,0,0,645700,149790,11840,80,51310,30.0,32,0,5120,0,-1.00,none,410076,therm30
1261,24.0,0,0,650870,151090,11940,80,51740,30.0,32,0,5121,0,-1.00,none,420094,therm30
1271,24.0,0,0,656440,152300,12030,80,52140,30.0,33,0,5122,0,-1.00,none,430108,therm30
1281,24.0,0,0,662180,153410,12130,80,52520,30.0,33,0,5128,0,-1.00,none,440128,therm30
1291,24.0,0,0,667780,154600,12200,80,52920,30.0,34,0,5121,0,-1.00,none,450144,therm30
1301,24.0,0,0,673850,155680,12300,80,53280,30.0,34,0,5094,0,-1.00,none,460158,therm30
1311,24.0,0,0,679720,156730,12400,80,53630,30.0,34,0,5127,0,-1.00,none,470170,therm30
1321,24.0,0,0,685720,157780,12500,80,54000,30.0,34,0,5129,0,-1.00,none,480183,therm30
1331,24.0,0,0,691760,158870,12620,80,54370,30.0,34,0,5132,0,-1.00,none,490198,therm30
1341,24.0,0,0,697340,160040,12720,80,54760,30.0,35,0,5109,0,-1.00,none,500211,therm30
1352,24.0,0,0,702850,161210,12820,80,55160,30.0,35,0,5121,0,-1.00,none,510229,therm30
1362,24.0,0,0,707800,162440,12890,80,55560,30.0,36,0,5124,0,-1.00,none,520248,therm30
1372,24.0,0,0,713450,163600,12980,80,55960,30.0,36,0,5121,0,-1.00,none,530263,therm30
1382,24.0,0,0,719190,164780,13070,80,56340,30.0,37,0,5117,0,-1.00,none,540284,therm30
1392,24.0,0,0,724980,165890,13150,80,56730,30.0,37,0,5112,0,-1.00,none,550297,therm30
1402,24.0,0,0,730850,166980,13250,80,57100,30.0,38,0,5126,0,-1.00,none,560307,therm30
1412,24.0,0,0,736600,168140,13330,80,57480,30.0,38,0,5107,0,-1.00,none,570322,therm30
1422,24.0,0,0,742350,169280,13420,80,57870,30.0,38,0,5129,0,-1.00,none,580337,therm30
1432,24.0,0,0,747870,170490,13480,80,58260,30.0,39,0,5119,0,-1.00,none,590351,therm30
1442,24.0,0,0,753400,171670,13570,80,58650,30.0,39,0,5121,0,-1.00,none,600365,therm30
1452,24.0,0,0,759080,172800,13650,80,59030,30.0,40,0,5120,0,-1.00,none,610379,therm30
1462,24.0,0,0,764220,174070,13710,80,59440,30.0,40,0,5106,0,-1.00,none,620398,therm30
1472,24.0,0,0,769850,175280,13790,80,59860,30.0,41,0,5110,0,-1.00,none,630411,therm30
1482,24.0,0,0,775490,176420,13870,80,60240,30.0,41,0,5049,0,-1.00,none,640426,therm30
1492,24.0,0,0,781320,177530,13960,80,60610,30.0,41,0,5124,0,-1.00,none,650435,therm30
1502,24.0,0,0,787130,178610,14060,80,60980,30.0,41,0,5129,0,-1.00,none,660450,therm30
1512,24.0,0,0,792680,179980,14150,80,61380,30.0,41,0,5112,0,-1.00,none,670468,therm30
1522,24.0,0,0,798470,181290,14250,80,61760,30.0,42,0,5126,0,-1.00,none,680483,therm30
